,四半期,UB,閲覧数,インターネット広告媒体費,IT市況,メディア営業利益
2017-1,1,27000000,165000000,1220600000000,14989100000000,63000000
2017-2,2,28000000,177000000,1220600000000,14989100000000,103000000
2017-3,3,25000000,150000000,1220600000000,14989100000000,73000000
2017-4,4,25000000,150000000,1448000000000,17515800000000,124000000
2018-1,1,32000000,180000000,1448000000000,17515800000000,56000000
2018-2,2,28000000,177000000,1448000000000,17515800000000,110000000
2018-3,3,32000000,208000000,1448000000000,17515800000000,158000000
2018-4,4,34000000,238000000,1663000000000,17939400000000,181000000
2019-1,1,36000000,250000000,1663000000000,17939400000000,80000000
2019-2,2,36000000,250000000,1663000000000,17939400000000,152000000
2019-3,3,32000000,250000000,1663000000000,17939400000000,132000000
2019-4,4,35000000,300000000,1756700000000,17116200000000,230000000
2020-1,1,36000000,300000000,1756700000000,17116200000000,125000000
2020-2,2,39000000,350000000,1756700000000,17116200000000,169000000
2020-3,3,40000000,350000000,1756700000000,17116200000000,215000000
2020-4,4,47000000,395000000,2157100000000,19316700000000,197000000
2021-1,1,50000000,450000000,2157100000000,19316700000000,197000000
2021-2,2,48000000,450000000,2157100000000,19316700000000,305000000
2021-3,3,47000000,410000000,2157100000000,19316700000000,368000000
2021-4,4,50000000,450000000,2480100000000,20096200000000,347000000
2022-1,1,50000000,470000000,2480100000000,20096200000000,362000000
2022-2,2,52000000,510000000,2480100000000,20096200000000,468000000
2022-3,3,52000000,450000000,2480100000000,20096200000000,460000000
2022-4,4,52000000,450000000,2529702000000,21371600000000,464000000
2023-1,1,49000000,380000000,2529702000000,21371600000000,396000000
2023-2,2,51000000,420000000,2529702000000,21371600000000,106000000
2023-3,3,54200000,450000000,2529702000000,21371600000000,263000000
2023-4,4,50472727,444545454,2605593060000,22311950400000,
2024-1,1,50472727,444545454,2605593060000,22311950400000,
2024-2,2,50472727,444545454,2605593060000,22311950400000,
2024-3,3,50472727,444545454,2605593060000,22311950400000,
2024-4,4,50472727,444545454,2683760851800,23293676217600,
